invar,   hvar,   hunt
alk0, ,
cpi_sat, ,
ccarb, ,
csoft, ,
cbio, ,
cres, ,
deltacstar, ,
canth_troca, ,
no, ,
po, ,
nstar, ,
aou, ,
phos_remin, ,
phos_pref, ,
nit_remin, ,
nit_pref, ,
