CTDPRS,DBAR,press,%8.1f
CTDPRS_FLAG_W, ,press,%d
CTDTMP,ITS-90,temp,%8.4f
CTDTMP_FLAG_W, ,temp,%d
CTDSAL,PSS-78,psal,%8.4f
CTDSAL_FLAG_W, ,psal,%d
CTDOXY,UMOL/KG,oxygen,%8.1f
CTDOXY_FLAG_W, ,oxygen,%d
CTDTURB,M^1/SR,turbidity,%8.6f
CTDTURB_FLAG_W, ,turbidity,%d
CTDXMISS,%TRANS,transmittance,%8.4f
CTDXMISS_FLAG_W, ,transmittance,%d
CTDFLUOR,MG/M^3,fluor,%8.4f
CTDFLUOR_FLAG_W, ,fluor,%d
